# id,x,y,weight,priority,time_start,time_end
1,88,14,4.6,3,09:07,10:07
2,12,66,3.8,2,09:00,10:00
3,33,2,3.4,3,09:05,10:05
4,71,54,5.0,1,09:25,10:25
5,63,49,3.0,2,09:12,10:12
6,85,66,1.7,3,09:19,10:19
7,34,83,0.6,5,09:36,10:36
8,71,77,0.8,3,09:21,10:21
9,14,4,3.3,3,09:32,10:32
10,38,9,2.5,4,09:48,10:48
11,67,40,0.9,3,09:29,10:29
12,48,10,3.0,3,09:44,10:44
13,5,17,3.7,3,09:11,10:11
14,85,23,0.9,2,09:42,10:42
15,32,63,4.9,1,09:47,10:47
16,44,97,3.8,3,09:04,10:04
17,47,80,0.8,1,09:34,10:34
18,28,79,0.9,4,09:52,10:52
19,94,20,3.7,5,09:05,10:05
20,99,9,1.1,3,09:53,10:53
21,55,54,0.5,3,09:44,10:44
22,78,5,3.0,4,09:49,10:49
23,56,31,4.1,1,09:01,10:01
