# id,x,y,weight,priority,time_start,time_end
1,69,28,3.8,3,09:08,10:08
2,5,11,2.8,1,09:52,10:52
3,15,46,1.4,2,09:50,10:50
4,67,27,2.8,4,09:54,10:54
5,17,31,0.9,2,09:41,10:41
6,61,51,4.9,4,09:06,10:06
7,79,61,4.5,3,09:27,10:27
8,23,75,3.6,4,09:02,10:02
9,63,37,2.2,2,09:24,10:24
10,99,65,3.4,3,09:32,10:32
11,38,80,3.6,1,09:56,10:56
12,52,3,2.8,3,09:02,10:02
13,16,51,3.2,3,09:24,10:24
14,12,12,1.3,5,09:23,10:23
15,15,26,2.5,4,09:00,10:00
16,58,60,0.9,5,09:41,10:41
17,75,13,4.5,2,10:00,11:00
18,19,9,1.8,5,09:27,10:27
19,13,71,3.9,1,09:51,10:51
20,83,23,2.0,3,09:39,10:39
21,28,39,3.2,4,09:40,10:40
22,76,55,0.9,4,09:10,10:10
23,43,64,1.7,3,09:56,10:56
24,78,49,3.8,2,10:00,11:00
25,56,34,1.6,3,09:52,10:52
26,62,3,4.6,3,09:33,10:33
