# id,x,y,weight,priority,time_start,time_end
1,77,59,2.6,1,09:56,10:56
2,47,40,4.2,2,09:41,10:41
3,57,66,4.7,4,09:36,10:36
4,14,7,1.6,5,09:28,10:28
5,75,59,3.0,2,09:51,10:51
6,6,33,4.3,3,09:58,10:58
7,12,69,1.6,3,09:56,10:56
8,72,74,4.4,3,09:48,10:48
9,62,52,1.3,4,09:41,10:41
10,38,72,4.8,4,09:20,10:20
11,70,61,1.0,1,09:26,10:26
12,32,1,2.8,3,09:48,10:48
13,28,7,1.2,1,09:59,10:59
14,4,47,3.7,1,09:20,10:20
15,77,62,4.1,4,09:16,10:16
16,22,60,3.8,2,09:38,10:38
17,65,7,3.6,2,09:19,10:19
18,3,63,1.3,5,09:58,10:58
19,51,100,1.2,1,09:52,10:52
20,33,100,5.0,5,09:32,10:32
21,15,66,4.1,4,09:39,10:39
22,21,41,2.9,2,09:55,10:55
23,24,32,0.8,3,09:23,10:23
24,59,25,4.7,2,09:05,10:05
25,72,55,0.6,5,09:53,10:53
26,56,60,1.9,5,09:07,10:07
27,18,96,4.0,5,09:13,10:13
28,41,45,2.4,5,09:02,10:02
29,94,42,4.7,1,09:04,10:04
30,6,20,2.1,2,09:41,10:41
31,78,53,2.2,1,09:03,10:03
32,7,58,4.7,5,09:52,10:52
33,90,69,4.5,4,09:03,10:03
34,72,60,4.8,3,09:32,10:32
