# id,x,y,weight,priority,time_start,time_end
1,0,57,1.2,4,09:15,10:15
2,44,82,2.4,3,09:43,10:43
3,86,78,2.6,2,09:09,10:09
4,28,34,2.3,3,09:00,10:00
5,54,14,4.7,1,09:25,10:25
6,100,11,3.1,4,09:47,10:47
7,84,33,3.1,3,09:24,10:24
8,80,23,2.3,4,09:47,10:47
9,66,57,1.4,3,09:19,10:19
10,39,15,2.0,1,09:23,10:23
11,29,35,2.8,4,09:44,10:44
12,26,74,1.1,4,09:43,10:43
13,70,95,2.0,4,09:21,10:21
14,62,7,1.6,3,09:55,10:55
15,55,98,3.7,1,09:57,10:57
16,10,86,3.0,3,09:29,10:29
17,62,95,4.5,4,09:47,10:47
18,81,54,3.3,3,09:08,10:08
19,75,77,4.2,2,09:05,10:05
20,7,11,3.2,2,09:39,10:39
21,42,32,4.7,1,09:04,10:04
22,66,78,3.6,5,09:38,10:38
23,85,63,3.5,1,09:33,10:33
24,24,44,1.0,4,09:30,10:30
25,5,94,0.8,4,09:15,10:15
26,21,95,3.3,2,09:30,10:30
27,71,19,4.8,4,09:03,10:03
28,20,95,3.0,2,09:37,10:37
29,28,67,2.4,2,09:42,10:42
30,39,9,4.3,4,09:23,10:23
